publisher: beginning loop
publishing #1: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #2: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #3: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #4: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #5: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #6: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #7: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #8: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #9: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #10: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #11: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #12: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #13: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #14: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #15: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #16: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #17: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #18: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #19: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #20: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #21: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #22: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #23: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #24: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #25: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #26: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #27: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #28: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

